id,host_id,neighbourhood,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
41710957,323981575,6,2,1,4,91,2,1125,2.0,2.0,moderate,0,
41711770,242077172,15,2,3,2,14,1,1125,1.0,1.0,strict_14_with_grace_period,3,10.0
41712832,329338592,11,2,3,2,19,1,15,1.0,1.0,flexible,1,10.0
41713183,27841247,11,2,3,2,28,1,1111,1.0,1.0,moderate,0,
41713334,327426998,6,2,3,1,16,1,1125,3.0,3.0,flexible,0,
41713498,3919211,3,2,1,4,68,2,15,2.0,3.0,flexible,1,10.0
41713600,329347212,11,2,1,6,95,2,1125,3.0,3.0,strict_14_with_grace_period,2,10.0
41715067,27841247,11,2,3,2,37,1,400,1.0,1.0,moderate,1,6.0
41715689,2872228,6,2,1,3,62,2,30,1.0,2.0,moderate,0,
41715869,106750086,6,2,3,2,24,2,1125,1.0,1.0,moderate,8,10.0
41716362,56545673,14,2,3,1,10,7,1125,1.0,0.0,flexible,0,
41716374,27841247,11,2,3,2,37,1,400,1.0,1.0,flexible,1,10.0
41717234,56545673,14,2,3,1,9,7,1125,1.0,,flexible,0,
41717392,807091,11,2,3,2,28,1,1125,1.0,1.0,flexible,3,10.0
41719300,9988682,11,2,1,2,70,2,62,1.0,1.0,strict_14_with_grace_period,6,9.0
41719526,329431395,6,2,1,2,17,1,1125,1.0,1.0,moderate,7,9.0
41719636,133001166,5,2,1,5,40,1,180,2.0,4.0,flexible,3,7.0
41720148,167806427,16,2,4,2,14,1,1125,1.0,2.0,strict_14_with_grace_period,0,
41720229,273046572,6,26,3,2,52,1,1125,1.0,1.0,moderate,0,
41720430,180206707,6,2,3,1,22,5,60,1.0,1.0,flexible,2,10.0
41720541,53738717,6,2,3,2,26,3,30,1.0,1.0,flexible,4,10.0
41720648,37080985,6,2,3,3,43,2,3,1.0,3.0,strict_14_with_grace_period,1,10.0
41721890,274933202,3,2,1,2,35,4,90,1.0,4.0,strict_14_with_grace_period,7,10.0
41722375,326530770,14,2,1,4,35,1,1125,2.0,4.0,flexible,1,10.0
41723324,145997075,8,2,1,4,24,1,1125,2.0,3.0,flexible,9,9.0
41723576,153585440,4,26,3,1,190,30,1125,1.0,1.0,moderate,0,
41723710,329498151,6,15,1,4,60,1,1125,1.0,2.0,strict_14_with_grace_period,3,10.0
41724798,213204977,5,2,3,2,100,1,1125,2.0,2.0,flexible,4,10.0
41725215,115984596,6,2,3,2,14,2,1125,1.0,1.0,flexible,0,
41737934,38960437,6,26,3,1,17,5,1125,1.0,1.0,moderate,5,10.0
41738776,105068974,4,15,3,2,12,1,1125,1.0,1.0,flexible,21,10.0
41740166,185238567,6,15,3,2,35,2,1125,1.0,1.0,moderate,4,7.0
41740286,154230693,6,2,1,4,50,1,150,2.0,2.0,strict_14_with_grace_period,0,
41742458,198234432,14,2,3,1,17,1,1125,0.0,1.0,flexible,2,10.0
41742847,102641023,5,22,3,1,14,1,450,1.0,1.0,moderate,3,7.0
41744023,157944675,6,2,1,4,29,1,1125,2.0,3.0,strict_14_with_grace_period,8,10.0
41744369,110045864,6,26,3,2,23,1,1125,1.0,1.0,moderate,3,10.0
41744492,123437417,8,26,3,2,15,1,1125,1.0,1.0,flexible,3,10.0
41745681,188950456,6,2,1,16,83,1,7,4.0,9.0,strict_14_with_grace_period,0,
41746762,9988682,3,2,1,4,29,2,31,2.0,3.0,strict_14_with_grace_period,10,10.0
41747405,67246008,6,2,1,4,60,10,40,2.0,2.0,moderate,0,
41748202,62444090,7,2,1,4,45,1,1125,3.0,3.0,strict_14_with_grace_period,2,9.0
41748589,180725654,4,26,3,2,13,1,5,1.0,2.0,flexible,0,
41749781,118720437,6,2,1,6,79,2,1125,3.0,5.0,flexible,7,10.0
41751223,328753344,3,2,3,2,15,1,1125,1.0,,moderate,7,9.0
41751354,101114392,1,2,3,2,28,3,1125,0.0,2.0,flexible,0,
41752284,232929257,6,2,3,3,10,1,1125,1.0,1.0,moderate,4,10.0
41752427,77573660,6,15,1,4,44,7,1125,2.0,2.0,flexible,1,10.0
41753260,327441693,11,2,3,1,12,12,350,9.0,9.0,strict_14_with_grace_period,0,
41753707,96097437,3,2,1,3,45,2,1125,1.0,1.0,flexible,3,10.0
41753893,71173957,6,26,3,1,22,7,1125,1.0,1.0,moderate,1,
41760854,225091443,1,2,1,4,25,2,31,2.0,2.0,flexible,0,
41762438,96205465,4,15,3,2,15,1,7,1.0,1.0,strict_14_with_grace_period,0,
41762806,329740410,16,26,3,1,10,1,1125,1.0,,flexible,0,
41765618,88164789,1,15,3,2,23,2,1125,1.0,1.0,flexible,1,10.0
41766357,135117793,2,23,3,1,30,1,1125,13.0,5.0,flexible,1,10.0
41767776,13043309,6,15,1,3,51,3,1125,1.0,1.0,flexible,7,9.0
41768063,213384941,3,2,1,6,83,1,1125,3.0,3.0,moderate,0,
41768792,288129664,6,22,1,8,182,2,1125,2.0,5.0,flexible,3,10.0
41771994,48004821,3,2,3,2,37,2,29,1.0,2.0,flexible,3,10.0
41772248,61447972,11,15,1,4,5000,2,90,2.0,1.0,moderate,7,10.0
41773016,179800202,3,2,1,5,62,2,1125,2.0,3.0,moderate,5,10.0
41773769,46869045,10,26,3,1,12,20,1125,1.0,1.0,flexible,0,
41773780,229160042,15,2,1,4,29,1,1125,2.0,2.0,flexible,2,10.0
41774952,330034126,8,23,3,2,15,10,15,1.0,1.0,moderate,0,
41775401,56611384,6,2,1,4,95,2,1125,2.0,3.0,flexible,4,10.0
41775742,17497044,3,2,1,4,46,2,1125,2.0,3.0,moderate,1,10.0
41776380,131834070,6,2,3,2,22,2,7,1.0,,moderate,0,
41777595,327805515,15,2,1,4,60,1,5,2.0,2.0,moderate,1,10.0
41778112,51531406,11,15,1,4,50,1,7,2.0,,moderate,1,
41778225,311676918,3,2,1,5,122,1,1125,3.0,4.0,moderate,5,10.0
41785233,330141085,3,2,3,2,36,2,1125,1.0,1.0,strict_14_with_grace_period,1,10.0
41790976,327817209,6,22,3,6,60,1,30,1.0,3.0,moderate,0,
41792095,164186512,3,26,3,3,17,1,1125,1.0,2.0,moderate,1,10.0
41793053,101037602,11,2,1,6,82,2,15,3.0,3.0,strict_14_with_grace_period,9,10.0
41794981,172348944,6,2,1,3,164,2,90,2.0,2.0,strict_14_with_grace_period,0,
41795400,152600643,6,2,3,1,17,2,30,1.0,,moderate,7,10.0
41795591,153949855,4,15,1,3,27,1,29,2.0,3.0,moderate,2,10.0
41795625,250718892,3,2,1,2,56,3,1125,1.0,1.0,moderate,1,10.0
41800618,266378715,2,2,3,1,10,1,1125,1.0,,strict_14_with_grace_period,7,10.0
41800684,174501555,1,2,1,4,40,3,1125,2.0,3.0,moderate,4,10.0
41801574,227194151,14,26,3,2,20,3,1125,1.0,2.0,flexible,1,10.0
41801898,330291194,9,2,4,4,86,3,1125,1.0,,flexible,0,
41802689,174546884,3,2,1,4,34,2,1125,2.0,2.0,moderate,19,10.0
41803523,307888271,11,15,1,4,80,3,1125,2.0,4.0,moderate,3,10.0
41803611,313104571,11,2,3,2,38,1,1125,1.0,1.0,moderate,1,2.0
41806380,150348917,6,2,3,1,12,10,90,1.0,1.0,flexible,0,
41814735,59338707,3,2,3,2,37,1,50,1.0,1.0,flexible,1,
41817658,143827150,11,2,1,4,70,2,1125,2.0,2.0,flexible,2,8.0
41817727,330425182,6,2,3,1,17,3,1125,1.0,1.0,flexible,6,10.0
41818414,330430779,4,22,1,2,25,2,30,1.0,1.0,strict_14_with_grace_period,16,10.0
41819394,51428980,6,2,3,2,18,6,180,1.0,1.0,moderate,5,7.0
41819543,330430779,4,22,1,2,25,2,1125,1.0,1.0,strict_14_with_grace_period,7,10.0
41819694,330430779,4,22,1,4,34,2,1125,1.0,2.0,strict_14_with_grace_period,1,10.0
41819725,165127345,1,2,3,1,21,1,30,1.0,1.0,moderate,0,
41820046,43984153,6,2,1,5,75,1,1125,2.0,2.0,moderate,7,9.0
41820313,330492483,7,26,1,6,40,2,1125,3.0,3.0,moderate,6,10.0
41821130,330506692,11,2,1,5,75,2,1125,3.0,3.0,strict_14_with_grace_period,12,10.0
41821635,15473248,1,2,1,2,68,3,60,1.0,1.0,moderate,0,
41822481,330524121,7,2,3,4,2362,17,1125,3.0,4.0,flexible,0,
41822943,330536063,6,26,3,1,20,2,1125,1.0,1.0,moderate,0,
41823333,24020790,6,2,1,3,55,5,40,0.0,1.0,strict_14_with_grace_period,18,10.0
41823531,239414766,1,2,3,3,23,1,1125,1.0,2.0,flexible,0,
41823550,330546650,4,2,1,2,31,1,1125,1.0,1.0,flexible,13,9.0
41824435,230705182,1,2,1,6,37,1,30,2.0,1.0,moderate,0,
41824584,178683288,3,2,1,3,45,2,1125,2.0,3.0,moderate,1,
41825274,330536063,6,26,3,2,1751,2,1125,1.0,1.0,moderate,1,10.0
41825379,330536063,6,26,3,2,17,2,1125,1.0,1.0,moderate,1,10.0
41825521,326700916,6,2,1,4,116,2,1125,1.0,2.0,moderate,1,10.0
41830586,329344410,2,2,1,2,20,1,7,1.0,1.0,moderate,5,10.0
41835123,169900101,6,2,1,4,43,2,10,2.0,3.0,moderate,6,10.0
41835126,31101814,6,2,1,7,85,1,1125,3.0,3.0,moderate,10,10.0
41835666,330629111,14,23,1,6,37,1,1125,2.0,4.0,flexible,0,
41835859,6653433,3,2,3,2,15,1,1125,1.0,1.0,flexible,8,10.0
41837441,99434077,6,33,1,6,192,3,60,3.0,4.0,moderate,4,10.0
41837651,125624590,11,12,4,2,20,1,1125,1.0,1.0,flexible,0,
41839511,260586540,15,2,1,3,26,1,1125,1.0,2.0,flexible,19,10.0
41839982,64438322,3,26,3,1,25,1,1125,1.0,1.0,moderate,1,10.0
41840043,61449769,1,2,3,2,25,2,15,1.0,,flexible,0,
41840121,330710381,1,26,3,2,20,1,1125,1.0,1.0,moderate,4,10.0
41840558,330715806,4,2,3,5,16,1,15,2.0,3.0,flexible,1,10.0
41840588,261032416,11,2,1,5,75,1,1125,2.0,2.0,flexible,3,10.0
41841171,62006328,14,26,3,1,9,7,1125,1.0,1.0,moderate,0,
41841255,330536063,6,26,3,2,23,2,1125,1.0,1.0,moderate,3,10.0
41841375,330536063,6,26,3,2,23,2,1125,1.0,1.0,moderate,1,10.0
41841501,330536063,6,26,3,2,23,2,1125,1.0,1.0,flexible,1,10.0
41841504,330536063,6,26,3,2,23,2,1125,1.0,1.0,flexible,0,
41841538,330536063,6,26,3,2,23,1,1125,1.0,1.0,flexible,1,10.0
